gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
ENSG00000124942,AHNAK,1380.909596,-3.87263377,0.166676687,-23.23440572,2.05E-119,4.13E-115,2718.517474,2387.35083,2650.319028,187.0539411,158.1501231,184.0661802
ENSG00000166736,HTR3A,490.3478321,-5.299680157,0.268254623,-19.7561559,7.10E-87,7.17E-83,937.2412623,948.1264522,984.044906,23.61792185,35.1444718,13.91197874
ENSG00000168298,H1-4,8894.092414,-2.055533705,0.148223681,-13.86778206,9.93E-44,6.69E-40,15258.90913,13420.85042,14336.24528,3049.54607,3560.961922,3738.041671
ENSG00000200959,SNORA74A,627.2096451,2.764857771,0.206339172,13.39957774,6.08E-41,3.07E-37,149.1301014,131.2918312,203.3064023,1018.40479,1124.623098,1136.501648
ENSG00000277492,ENSG00000277492,563.2716414,3.330777939,0.254962272,13.06380709,5.30E-39,2.14E-35,92.17068768,68.96975945,145.6679893,937.1591391,1040.896562,1094.765711
ENSG00000233822,H2BC15,2230.883776,-2.020170637,0.157996517,-12.78617199,1.96E-37,6.59E-34,3714.789401,3183.411427,3839.766278,803.009343,957.170026,887.1561825
ENSG00000183598,H3C13,3147.682521,-1.963270136,0.163265004,-12.02505182,2.62E-33,7.57E-30,5391.467416,4634.269258,5005.110193,1083.590255,1395.442263,1376.215743
ENSG00000104213,PDGFRL,142.1183877,3.648104822,0.316162644,11.5386966,8.42E-31,2.13E-27,21.74813979,24.09786776,16.76753833,213.5060135,279.0884525,297.5023145
ENSG00000188486,H2AX,4972.81937,-1.679689935,0.148046346,-11.34570346,7.79E-30,1.70E-26,8003.315442,6756.543543,7979.252304,2328.727095,2229.606637,2539.471196
ENSG00000203852,H3C15,2715.037371,-1.892226745,0.166879664,-11.33886956,8.42E-30,1.70E-26,4468.724914,3896.375928,4467.500995,961.7217778,1234.191157,1261.709456
ENSG00000278588,H2BC10,600.5040909,-2.419012054,0.214242979,-11.29097469,1.45E-29,2.67E-26,1064.623224,914.8880139,1055.306944,142.652248,192.260934,233.2931819
ENSG00000207215,SNORD3H,538.1411449,2.65807792,0.235878743,11.26883195,1.87E-29,3.15E-26,97.3488162,186.9662154,156.1477007,918.2648016,954.0690432,916.0502922
ENSG00000200795,RNU4-1,777.9641947,2.535953053,0.225847465,11.22860977,2.95E-29,4.58E-26,162.5932356,245.9644433,277.7123536,1524.773035,1312.749388,1143.992713
ENSG00000203814,H2BC18,4675.523682,-1.839627349,0.16533754,-11.1264952,9.32E-29,1.35E-25,7568.352646,6847.118288,7510.809202,1674.038301,2215.135384,2237.688272
ENSG00000263934,SNORD3A,956.5440247,2.493841045,0.224900452,11.08864399,1.42E-28,1.92E-25,204.0182637,297.4840227,363.6459876,1389.678522,1727.247423,1757.18993
ENSG00000212550,RNU1-78P,219.7241918,4.352454657,0.393414315,11.0632849,1.89E-28,2.39E-25,8.285005634,26.59075063,26.19927865,254.1288391,564.3788706,438.7624063
ENSG00000189060,H1-0,1346.352202,-2.237098065,0.202700172,-11.03648824,2.55E-28,3.03E-25,2236.951521,2150.526957,2276.193329,355.2135447,461.0127771,598.2150857
ENSG00000181218,H2AC25,23723.21475,-1.704938676,0.154762259,-11.01650162,3.18E-28,3.57E-25,38063.38713,33250.9027,37612.7324,9585.097404,11542.89166,12284.27722
ENSG00000184357,H1-5,780.6674947,-1.976227728,0.180279723,-10.96200779,5.82E-28,6.19E-25,1270.712739,1176.640715,1286.908567,261.6865741,334.906143,353.1502295
ENSG00000288825,H2AC18,791.7434398,-1.833919475,0.167698508,-10.93581271,7.77E-28,7.85E-25,1284.175873,1120.966331,1304.724077,337.263924,326.6368555,376.6935781
ENSG00000222328,RNU2-2P,15106.27998,2.193032625,0.200714361,10.9261371,8.65E-28,8.32E-25,4064.830889,5903.14664,6296.210644,21287.30532,28882.55385,24203.63254
ENSG00000251942,ENSG00000251942,334.7351699,2.73565649,0.251934941,10.85858307,1.82E-27,1.67E-24,79.74317923,68.96975945,114.2288549,472.358437,647.0717455,626.0390431
ENSG00000035403,VCL,590.4363199,-2.031601483,0.188051115,-10.80345354,3.31E-27,2.91E-24,899.958737,996.3221877,949.4618581,191.7775254,242.9103198,262.1872916
ENSG00000202538,RNU4-2,2960.755602,2.059205844,0.190916517,10.78589676,4.01E-27,3.38E-24,1027.340699,1045.348884,1365.506403,3931.91163,5576.600746,4817.825252
ENSG00000199666,SNORD3G,403.2449409,2.579055806,0.240421944,10.72720635,7.59E-27,6.13E-24,88.02818486,121.3202998,137.2842201,556.4382388,818.6594607,697.7392412
ENSG00000197238,H4C11,1916.031059,-1.716195594,0.163384653,-10.50401957,8.28E-26,6.43E-23,2941.177,2703.115994,3169.064745,768.0548186,962.3383307,952.4354673
ENSG00000218336,TENM3,2114.488633,-1.587047344,0.15460383,-10.26525247,1.01E-24,7.56E-22,3181.442163,3079.541307,3257.094321,916.3753679,1096.714252,1155.764387
ENSG00000203811,H3C14,1273.58068,-1.851825317,0.180623273,-10.25241814,1.15E-24,8.33E-22,2229.702141,1741.694166,2012.1046,496.9210758,516.8304676,644.2316307
ENSG00000136152,COG3,408.5726507,-2.550580779,0.25200727,-10.12106031,4.46E-24,3.10E-21,682.4773391,723.7669937,687.4690717,89.74810304,169.5203934,98.45400337
ENSG00000138795,LEF1,193.1220035,3.155159897,0.312341571,10.10163292,5.43E-24,3.66E-21,19.67688838,46.5338136,50.302615,332.5403397,328.7041774,380.9741869
ENSG00000124785,NRN1,377.1964764,-1.878423002,0.187281922,-10.02992162,1.13E-23,7.34E-21,603.7697856,586.6584358,588.959784,162.4913023,174.6886981,146.6108528
ENSG00000011347,SYT7,397.4379415,1.924131086,0.192789356,9.980484,1.86E-23,1.17E-20,158.4507327,181.1494887,157.1956719,671.6936975,563.3452097,652.7928484
ENSG00000276180,H4C9,3518.514584,-1.596677131,0.160170541,-9.96860671,2.09E-23,1.28E-20,5399.752422,4891.036194,5574.158525,1482.260775,1875.060937,1888.818652
ENSG00000278828,H3C10,800.5108522,-1.606056028,0.161494478,-9.944959419,2.65E-23,1.58E-20,1287.28275,1186.612247,1141.240578,368.4395809,401.0604429,418.4295143
ENSG00000196358,NTNG2,159.9730525,2.812435307,0.284747449,9.876946461,5.24E-23,3.02E-20,30.03314542,43.20996978,46.11073042,236.1792185,282.1894353,322.1158154
ENSG00000277775,H3C7,1572.834098,-1.736151483,0.17656816,-9.832755153,8.14E-23,4.57E-20,2609.776775,2080.726237,2567.529307,620.6789863,753.5388218,804.7544623
ENSG00000166165,CKB,175.7241186,2.385154838,0.2438342,9.781871598,1.35E-22,7.35E-20,54.88816232,54.84342318,59.73435531,267.3548754,301.8289931,315.6949021
ENSG00000276903,H2AC16,718.3463885,-1.691597035,0.173267206,-9.762938262,1.62E-22,8.63E-20,1150.580157,1050.33465,1089.889992,292.862231,370.0506148,356.3606861
ENSG00000238227,TMEM250,308.1800529,2.525616547,0.260379153,9.699764802,3.02E-22,1.53E-19,77.67192782,116.334534,78.59783594,428.9014608,656.3746939,491.1998646
ENSG00000250752,RPL23AP96,126.6050076,-2.89008508,0.297919952,-9.700877919,2.99E-22,1.53E-19,249.5857947,226.8523413,192.8266908,27.39678935,35.1444718,27.82395747
ENSG00000152795,HNRNPDL,1108.869667,-1.495881614,0.15528118,-9.633373542,5.78E-22,2.84E-19,1729.494926,1563.868521,1618.067449,531.8756001,588.1530722,621.7584343
ENSG00000180596,H2BC4,1084.113457,-2.347912972,0.243781922,-9.631202158,5.90E-22,2.84E-19,1835.128748,1757.482425,1843.381246,216.3401642,440.3395584,412.008601
ENSG00000275994,SNORA24,163.582541,2.866592593,0.298643697,9.598704468,8.10E-22,3.80E-19,25.89064261,39.05516499,53.44652844,251.2946885,312.1656024,299.6426189
ENSG00000118007,STAG1,567.6356138,-1.77805411,0.185300689,-9.595507268,8.35E-22,3.83E-19,904.1012398,923.1976235,809.0337246,217.284881,272.8864869,279.3097269
ENSG00000158373,H2BC5,591.7778598,-2.134444614,0.223755417,-9.539186309,1.44E-21,6.46E-19,974.5237877,910.7332091,1006.0523,153.0441336,238.775676,267.5380526
ENSG00000199270,RNA5S12,3503.897568,2.254340843,0.238681635,9.44496985,3.56E-21,1.56E-18,921.7068768,1392.690564,1327.779442,4365.536675,7807.241044,5208.430808
ENSG00000206932,RNU6-4P,266.5396086,11.55008571,1.226127111,9.419974163,4.51E-21,1.94E-18,0,0,0,282.4703454,744.2358734,572.5314326
ENSG00000202526,RNA5S13,3499.293554,2.2682761,0.241363576,9.397756427,5.57E-21,2.35E-18,906.1724912,1394.352486,1307.86799,4342.86347,7839.284533,5205.220352
ENSG00000201355,RNA5S14,3503.588644,2.268798307,0.243219835,9.328179609,1.08E-20,4.44E-18,902.0299884,1401.831135,1307.86799,4334.361018,7872.361683,5203.080047
ENSG00000275714,H3C1,437.9193887,-1.913649229,0.205705657,-9.302851735,1.37E-20,5.52E-18,682.4773391,691.3595164,702.1406677,147.3758324,222.2371011,181.9258758
ENSG00000200370,RNA5S17,3495.051227,2.285342319,0.2460312,9.288831312,1.56E-20,6.08E-18,871.996843,1423.43612,1273.284942,4329.637434,7819.644975,5252.307049
ENSG00000202257,RNA5S16,3502.030365,2.278608023,0.245314483,9.288518132,1.56E-20,6.08E-18,884.4243514,1422.605159,1282.716683,4325.858566,7849.621142,5246.956288
ENSG00000202363,SNORA62,304.2428306,3.181853476,0.342888502,9.279557238,1.70E-20,6.46E-18,28.99751972,58.99822796,93.26943198,410.0071234,567.4798535,666.7048271
ENSG00000267773,ENSG00000267773,111.8844655,3.328872297,0.358792454,9.277988603,1.73E-20,6.46E-18,15.53438556,19.11210202,26.19927865,143.5969649,234.6410323,232.2230297
ENSG00000201925,RNA5S15,3493.941374,2.261466571,0.247845726,9.124492898,7.21E-20,2.65E-17,889.6024799,1422.605159,1304.724077,4267.28612,7880.63097,5198.799439
ENSG00000199334,RNA5S11,3518.523774,2.219042215,0.24335406,9.118574852,7.61E-20,2.75E-17,915.4931225,1401.831135,1414.761047,4371.204976,7816.543992,5191.308373
ENSG00000199910,RNA5S10,3515.616667,2.203401909,0.242329207,9.092597355,9.67E-20,3.43E-17,922.7425025,1393.521525,1446.200181,4381.596862,7767.961928,5181.677003
ENSG00000159348,CYB5R1,260.993905,2.25899026,0.248566315,9.088078821,1.01E-19,3.51E-17,66.28004507,102.2081977,101.6532011,425.1225933,375.2189195,495.4804735
ENSG00000145703,IQGAP2,347.8915922,-1.835521489,0.202037059,-9.085073312,1.04E-19,3.55E-17,486.744081,565.0534509,578.4800725,138.8733805,171.5877153,146.6108528
ENSG00000176533,GNG7,90.33092022,3.782289501,0.417524094,9.058853255,1.32E-19,4.44E-17,12.42750845,10.80249244,13.6236249,108.6424405,227.4054058,169.0840493
ENSG00000274266,SNORA73A,1088.507702,2.033917626,0.224965868,9.041005402,1.55E-19,5.14E-17,336.5783539,404.6779862,540.7531113,1379.286636,2059.052583,1810.69754
ENSG00000181201,H2BC27P,304.9738587,-1.901511081,0.210886252,-9.016761719,1.94E-19,6.31E-17,543.7034947,435.4235416,464.2512176,115.2554586,138.5105653,132.6988741
ENSG00000160789,LMNA,1491.826186,-1.757397864,0.195346527,-8.996309746,2.33E-19,7.48E-17,2453.397293,2151.357918,2302.392607,550.7699376,631.5668314,861.4725294
ENSG00000274290,H2BC6,2480.509123,-1.457842191,0.16258246,-8.966786374,3.05E-19,9.64E-17,3462.096729,3444.333168,4004.297748,1147.831002,1475.034155,1349.461937
ENSG00000145833,DDX46,542.4413382,-1.744449782,0.194975617,-8.947015082,3.65E-19,1.13E-16,898.9231113,856.7207469,750.3473404,212.5612967,243.9439807,292.1515535
ENSG00000200343,RNA5S8,3533.42269,2.189338353,0.244948515,8.93795316,3.96E-19,1.21E-16,922.7425025,1384.380955,1504.886565,4402.380633,7794.837113,5191.308373
ENSG00000202521,RNA5S7,3555.30558,2.19709795,0.245954917,8.932929553,4.15E-19,1.25E-16,923.7781282,1378.564228,1516.414248,4420.330254,7867.193378,5225.553244
ENSG00000273907,CA15P2,252.6050621,2.079234179,0.233087712,8.920393781,4.65E-19,1.38E-16,97.3488162,116.334534,75.4539225,392.0575027,402.0941038,432.341493
ENSG00000135842,NIBAN1,108.7729828,2.725031049,0.305878905,8.908855769,5.16E-19,1.51E-16,23.8193912,33.23843829,28.29522094,187.0539411,172.6213762,207.6095288
ENSG00000136450,SRSF1,2948.494337,-1.444218621,0.162633053,-8.880228168,6.67E-19,1.93E-16,4515.32807,4260.336828,4160.445449,1323.548341,1655.924818,1775.382517
ENSG00000273542,H4C12,726.6510377,-1.636555339,0.185709948,-8.812426893,1.22E-18,3.48E-16,1235.501465,1028.729665,1034.347521,316.4801528,332.8388212,412.008601
ENSG00000201321,RNA5S9,4267.548343,2.214936954,0.251405977,8.810200075,1.25E-18,3.50E-16,1044.946336,1695.160353,1797.270515,5411.338255,9450.761931,6205.812669
ENSG00000106069,CHN2,918.7918022,-1.587214509,0.180544267,-8.791276164,1.48E-18,4.09E-16,1373.239684,1356.959243,1405.329307,377.8867496,459.9791162,539.3567141
ENSG00000199396,RNA5S5,3576.608493,2.183972422,0.248651347,8.783272041,1.59E-18,4.33E-16,925.8493796,1381.057111,1563.57295,4440.169308,7910.607137,5238.39507
ENSG00000200624,RNA5S6,3520.787696,2.175952881,0.247777925,8.781867393,1.61E-18,4.33E-16,922.7425025,1369.423658,1535.277729,4363.647241,7796.904435,5136.73061
ENSG00000270882,H4C14,377.8327914,-1.668250692,0.190118998,-8.774771136,1.71E-18,4.55E-16,617.2329197,535.9698174,571.1442745,165.325453,194.3282558,182.996028
ENSG00000201822,RNA5SP149,9961.697524,2.300368599,0.262501171,8.763269873,1.90E-18,4.98E-16,2483.430439,3907.178421,3695.14626,11252.52269,23627.42166,14804.48568
ENSG00000231991,ANXA2P2,211.0233802,-2.4199726,0.27624925,-8.760105586,1.95E-18,5.05E-16,314.8302141,332.3843829,419.1884583,51.95942807,57.88501237,89.89278568
ENSG00000275379,H3C11,288.9068136,-1.803528289,0.206015505,-8.754332775,2.05E-18,5.25E-16,472.2453211,408.832791,466.3471599,118.0896093,140.5778872,127.348113
ENSG00000274641,H2BC17,360.9424941,-1.702864016,0.194695268,-8.746304067,2.20E-18,5.57E-16,539.5609919,559.2367242,557.5206496,145.4863986,181.9243246,181.9258758
ENSG00000161547,SRSF2,1159.4363,-1.657461893,0.190179589,-8.71524597,2.90E-18,7.15E-16,1919.01443,1662.752875,1699.809199,434.5697621,601.5906643,638.8808697
