gene,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000124942,AHNAK,1380.909596,-3.87263377,0.166676687,-23.23440572,2.05E-119,4.13E-115
ENSG00000166736,HTR3A,490.3478321,-5.299680157,0.268254623,-19.7561559,7.10E-87,7.17E-83
ENSG00000168298,H1-4,8894.092414,-2.055533705,0.148223681,-13.86778206,9.93E-44,6.69E-40
ENSG00000200959,SNORA74A,627.2096451,2.764857771,0.206339172,13.39957774,6.08E-41,3.07E-37
ENSG00000277492,ENSG00000277492,563.2716414,3.330777939,0.254962272,13.06380709,5.30E-39,2.14E-35
ENSG00000233822,H2BC15,2230.883776,-2.020170637,0.157996517,-12.78617199,1.96E-37,6.59E-34
ENSG00000183598,H3C13,3147.682521,-1.963270136,0.163265004,-12.02505182,2.62E-33,7.57E-30
ENSG00000104213,PDGFRL,142.1183877,3.648104822,0.316162644,11.5386966,8.42E-31,2.13E-27
ENSG00000188486,H2AX,4972.81937,-1.679689935,0.148046346,-11.34570346,7.79E-30,1.70E-26
ENSG00000203852,H3C15,2715.037371,-1.892226745,0.166879664,-11.33886956,8.42E-30,1.70E-26
ENSG00000278588,H2BC10,600.5040909,-2.419012054,0.214242979,-11.29097469,1.45E-29,2.67E-26
ENSG00000207215,SNORD3H,538.1411449,2.65807792,0.235878743,11.26883195,1.87E-29,3.15E-26
ENSG00000200795,RNU4-1,777.9641947,2.535953053,0.225847465,11.22860977,2.95E-29,4.58E-26
ENSG00000203814,H2BC18,4675.523682,-1.839627349,0.16533754,-11.1264952,9.32E-29,1.35E-25
ENSG00000263934,SNORD3A,956.5440247,2.493841045,0.224900452,11.08864399,1.42E-28,1.92E-25
ENSG00000212550,RNU1-78P,219.7241918,4.352454657,0.393414315,11.0632849,1.89E-28,2.39E-25
ENSG00000189060,H1-0,1346.352202,-2.237098065,0.202700172,-11.03648824,2.55E-28,3.03E-25
ENSG00000181218,H2AC25,23723.21475,-1.704938676,0.154762259,-11.01650162,3.18E-28,3.57E-25
ENSG00000184357,H1-5,780.6674947,-1.976227728,0.180279723,-10.96200779,5.82E-28,6.19E-25
ENSG00000288825,H2AC18,791.7434398,-1.833919475,0.167698508,-10.93581271,7.77E-28,7.85E-25
ENSG00000222328,RNU2-2P,15106.27998,2.193032625,0.200714361,10.9261371,8.65E-28,8.32E-25
ENSG00000251942,ENSG00000251942,334.7351699,2.73565649,0.251934941,10.85858307,1.82E-27,1.67E-24
ENSG00000035403,VCL,590.4363199,-2.031601483,0.188051115,-10.80345354,3.31E-27,2.91E-24
ENSG00000202538,RNU4-2,2960.755602,2.059205844,0.190916517,10.78589676,4.01E-27,3.38E-24
ENSG00000199666,SNORD3G,403.2449409,2.579055806,0.240421944,10.72720635,7.59E-27,6.13E-24
ENSG00000197238,H4C11,1916.031059,-1.716195594,0.163384653,-10.50401957,8.28E-26,6.43E-23
ENSG00000218336,TENM3,2114.488633,-1.587047344,0.15460383,-10.26525247,1.01E-24,7.56E-22
ENSG00000203811,H3C14,1273.58068,-1.851825317,0.180623273,-10.25241814,1.15E-24,8.33E-22
ENSG00000136152,COG3,408.5726507,-2.550580779,0.25200727,-10.12106031,4.46E-24,3.10E-21
ENSG00000138795,LEF1,193.1220035,3.155159897,0.312341571,10.10163292,5.43E-24,3.66E-21
ENSG00000124785,NRN1,377.1964764,-1.878423002,0.187281922,-10.02992162,1.13E-23,7.34E-21
ENSG00000011347,SYT7,397.4379415,1.924131086,0.192789356,9.980484,1.86E-23,1.17E-20
ENSG00000276180,H4C9,3518.514584,-1.596677131,0.160170541,-9.96860671,2.09E-23,1.28E-20
ENSG00000278828,H3C10,800.5108522,-1.606056028,0.161494478,-9.944959419,2.65E-23,1.58E-20
ENSG00000196358,NTNG2,159.9730525,2.812435307,0.284747449,9.876946461,5.24E-23,3.02E-20
ENSG00000277775,H3C7,1572.834098,-1.736151483,0.17656816,-9.832755153,8.14E-23,4.57E-20
ENSG00000166165,CKB,175.7241186,2.385154838,0.2438342,9.781871598,1.35E-22,7.35E-20
ENSG00000276903,H2AC16,718.3463885,-1.691597035,0.173267206,-9.762938262,1.62E-22,8.63E-20
ENSG00000238227,TMEM250,308.1800529,2.525616547,0.260379153,9.699764802,3.02E-22,1.53E-19
ENSG00000250752,RPL23AP96,126.6050076,-2.89008508,0.297919952,-9.700877919,2.99E-22,1.53E-19
ENSG00000152795,HNRNPDL,1108.869667,-1.495881614,0.15528118,-9.633373542,5.78E-22,2.84E-19
ENSG00000180596,H2BC4,1084.113457,-2.347912972,0.243781922,-9.631202158,5.90E-22,2.84E-19
ENSG00000275994,SNORA24,163.582541,2.866592593,0.298643697,9.598704468,8.10E-22,3.80E-19
ENSG00000118007,STAG1,567.6356138,-1.77805411,0.185300689,-9.595507268,8.35E-22,3.83E-19
ENSG00000158373,H2BC5,591.7778598,-2.134444614,0.223755417,-9.539186309,1.44E-21,6.46E-19
ENSG00000199270,RNA5S12,3503.897568,2.254340843,0.238681635,9.44496985,3.56E-21,1.56E-18
ENSG00000206932,RNU6-4P,266.5396086,11.55008571,1.226127111,9.419974163,4.51E-21,1.94E-18
ENSG00000202526,RNA5S13,3499.293554,2.2682761,0.241363576,9.397756427,5.57E-21,2.35E-18
ENSG00000201355,RNA5S14,3503.588644,2.268798307,0.243219835,9.328179609,1.08E-20,4.44E-18
