baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name
15.72891995,-0.645102113,0.605866363,-1.064759744,0.286984666,0.421044333,0610006L08Rik,0610006L08Rik
2.181318182,4.716891061,1.902668375,2.479092585,0.013171711,0.032124912,0610009E02Rik,0610009E02Rik
10.76900741,0.451538246,0.719594706,0.627489672,0.530338304,0.659540717,0610009L18Rik,0610009L18Rik
173.8913391,-0.594271419,0.174958454,-3.396643055,0.000682179,0.002217558,0610010K14Rik,0610010K14Rik
141.6387931,0.206159538,0.186683313,1.104327613,0.269451049,0.401359491,0610030E20Rik,0610030E20Rik
58.08562734,0.688430509,0.32206983,2.137519395,0.03255577,0.071238196,0610038B21Rik,0610038B21Rik
6.586171566,1.255846491,0.97650399,1.286063861,0.198420775,0.316519312,0610040B10Rik,0610040B10Rik
5.908752826,0.218546732,0.950002178,0.230048664,0.818053955,0.883617755,1110002E22Rik,1110002E22Rik
2.592637127,2.150235948,1.613789317,1.332414291,0.182724089,0.297101129,1110002J07Rik,1110002J07Rik
230.4415233,0.608916236,0.149536442,4.072025697,4.66E-05,0.000184406,1110002L01Rik,1110002L01Rik
2496.42504,-0.386865989,0.067703466,-5.7141238,1.10E-08,6.69E-08,1110004F10Rik,1110004F10Rik
3.79767658,0.764399194,1.158236582,0.659968098,0.509274302,0.641434971,1110006O24Rik,1110006O24Rik
14.41331125,1.350857743,0.624432503,2.163336687,0.030515293,0.067321883,1110018N20Rik,1110018N20Rik
19.9907494,0.87233333,0.512674097,1.701535801,0.088842421,0.166084702,1110019D14Rik,1110019D14Rik
2.175012349,-1.623523313,1.662572959,-0.976512522,0.328810546,0.467144692,1110020A21Rik,1110020A21Rik
16.22981277,-0.158234339,0.561109243,-0.282002732,0.777941416,0.856024937,1110025M09Rik,1110025M09Rik
17.26912823,-0.326410433,0.543424401,-0.600654723,0.548069982,0.674942729,1110032F04Rik,1110032F04Rik
243.1804602,0.21625101,0.148144103,1.459734173,0.144363146,0.246509147,1110038B12Rik,1110038B12Rik
184.4914036,-0.509677277,0.170566315,-2.988147324,0.002806742,0.008034455,1110038F14Rik,1110038F14Rik
184.1241047,-0.287207558,0.173118092,-1.659026819,0.097110388,0.178538671,1110059E24Rik,1110059E24Rik
53.38636813,-0.131535784,0.322916523,-0.407336804,0.683760635,0.786403583,1110059G10Rik,1110059G10Rik
86.87676722,0.035959309,0.24184076,0.148690028,0.88179823,0.926721352,1110065P20Rik,1110065P20Rik
31.30261555,-0.31947011,0.453217199,-0.704894057,0.480876169,0.61591268,1190005I06Rik,1190005I06Rik
40.56978902,-0.783128861,0.361804541,-2.164508103,0.030425375,0.06716596,1300002E11Rik,1300002E11Rik
5.634621755,2.416182243,1.103400651,2.189759668,0.028541671,0.063562305,1500002C15Rik,1500002C15Rik
106.7460679,1.471404098,0.304573871,4.831025367,1.36E-06,6.58E-06,1500002F19Rik,1500002F19Rik
99.48392018,0.356401699,0.23173089,1.537998231,0.124049047,0.218050964,1500004A13Rik,1500004A13Rik
296.5288683,-0.111878721,0.139028703,-0.804716715,0.420983172,0.560102096,1500009L16Rik,1500009L16Rik
11.51874295,1.353666534,0.684808422,1.976708361,0.048074605,0.099290569,1500011B03Rik,1500011B03Rik
36.48185435,0.167420492,0.36490348,0.458807607,0.646372332,0.75601996,1500015A07Rik,1500015A07Rik
99.2581311,-1.106960302,0.25279421,-4.378898963,1.19E-05,5.10E-05,1600012H06Rik,1600012H06Rik
116.0950613,0.969793722,0.217671759,4.455303368,8.38E-06,3.66E-05,1600014C10Rik,1600014C10Rik
7.209147554,0.529292448,0.892103167,0.593308563,0.552974669,0.679317724,1600020E01Rik,1600020E01Rik
15.56246468,0.416208397,0.568560988,0.732038261,0.464145215,0.601117562,1600029O15Rik,1600029O15Rik
2.117608662,0.400245619,1.841302505,0.21737092,0.827919292,0.890745617,1700001G11Rik,1700001G11Rik
4.888764813,-0.263240239,1.033257758,-0.254767251,0.79890287,0.87027854,1700001G17Rik,1700001G17Rik
24.23056026,4.118250164,0.656147851,6.276405776,3.46E-10,2.41E-09,1700001J03Rik,1700001J03Rik
2.081694194,-0.905197106,1.48893813,-0.607948099,0.543221897,0.670735887,1700001K23Rik,1700001K23Rik
13.37230406,0.46176096,0.614805048,0.751068914,0.452611183,0.5899935,1700001L05Rik,1700001L05Rik
20.84800346,0.562878964,0.511969233,1.099439044,0.271576608,0.403733096,1700001O22Rik,1700001O22Rik
13.90878423,1.63238375,0.616432114,2.648116009,0.008094174,0.020959588,1700003E16Rik,1700003E16Rik
2.143449651,0.02044066,1.497082502,0.013653663,0.989106291,0.993146479,1700003M07Rik,1700003M07Rik
2.064704724,3.546802914,1.862069795,1.90476368,0.056810797,0.114458055,1700006J14Rik,1700006J14Rik
5.483461637,0.5129926,1.06083656,0.483573643,0.628688484,0.742639601,1700007E05Rik,1700007E05Rik
5.969165511,0.708630438,0.925385447,0.765767865,0.443814438,0.582091635,1700007L15Rik,1700007L15Rik
28.71138051,-0.875258646,0.487253179,-1.796311824,0.072444938,0.140502446,1700008J07Rik,1700008J07Rik
2.423023227,2.198013776,1.544133648,1.423460838,0.154602607,0.260225605,1700008O03Rik,1700008O03Rik
2.008520948,0.278352043,1.508014927,0.184581756,0.853557097,0.908361708,1700010G06Rik,1700010G06Rik
20.36945516,0.759345033,0.493396034,1.539017302,0.123800072,0.217679092,1700010I14Rik,1700010I14Rik
4.582367984,1.465116988,1.270841341,1.152871677,0.248963059,0.377773628,1700012B09Rik,1700012B09Rik
6.534207258,0.195647483,0.901846194,0.216941075,0.828254266,0.891051082,1700012D01Rik,1700012D01Rik
6.187906127,1.132671467,0.990632646,1.14338193,0.252880052,0.382584122,1700012D16Rik,1700012D16Rik
679.2697156,0.725952308,0.08914017,8.143941254,3.83E-16,3.99E-15,1700017B05Rik,1700017B05Rik
12.29098744,4.743155334,1.029665387,4.606501677,4.09E-06,1.86E-05,1700019D03Rik,1700019D03Rik
5.061177989,1.74709278,1.04344951,1.674343381,0.094063133,0.174054693,1700019M22Rik,1700019M22Rik
2.284450966,2.181502137,1.797852768,1.213393097,0.224979564,0.349805643,1700020L13Rik,1700020L13Rik
20.93900413,0.770499578,0.544354221,1.415437868,0.156940154,0.263448735,1700020L24Rik,1700020L24Rik
3.467506542,-0.845617516,1.185413966,-0.713352078,0.475627919,0.611276441,1700021L23Rik,1700021L23Rik
7.053842487,1.464078202,1.028010592,1.424185912,0.154392662,0.2599976,1700021N21Rik,1700021N21Rik
2.119305332,1.952240048,1.637983416,1.191855808,0.233317789,0.359918882,1700022N22Rik,1700022N22Rik
45.80341308,1.791848125,0.35394882,5.062449784,4.14E-07,2.14E-06,1700024B05Rik,1700024B05Rik
1096.615761,-0.784856324,0.072753432,-10.78789418,3.93E-27,7.35E-26,1700025G04Rik,1700025G04Rik
1.925031141,-2.073635185,1.75241213,-1.183303373,0.236688936,NA,1700026J14Rik,1700026J14Rik
2.871991374,5.116381713,1.701041687,3.007793255,0.002631521,0.007577617,1700028I16Rik,1700028I16Rik
16.88975186,0.122887113,0.587452032,0.209186634,0.834302546,0.89509899,1700028K03Rik,1700028K03Rik
2.459184863,-1.358885066,1.555160679,-0.873790782,0.382232201,0.522082234,1700030C14Rik,1700030C14Rik
22.64646602,0.117824031,0.523511036,0.225065038,0.821928679,0.886431517,1700030J22Rik,1700030J22Rik
24.2790944,0.849079262,0.510135194,1.664420081,0.09602851,0.176922367,1700030K09Rik,1700030K09Rik
29.76815754,0.82238329,0.408295318,2.014187413,0.043989861,0.092167472,1700034H15Rik,1700034H15Rik
2.943702993,-0.076681622,1.280086844,-0.059903453,0.95223253,0.971844483,1700034P13Rik,1700034P13Rik
6.409406958,0.03907514,0.948211645,0.041209301,0.967129038,0.980566621,1700037C18Rik,1700037C18Rik
19.54202891,-1.033477525,0.543073699,-1.90301524,0.057038557,0.114807281,1700039I01Rik,1700039I01Rik
3.364739391,0.553360132,1.331867681,0.415476808,0.67779289,0.782013572,1700040D17Rik,1700040D17Rik
16.64844295,1.04093668,0.699818632,1.48743779,0.136899222,0.236353954,1700042G15Rik,1700042G15Rik
266.7270371,-0.343244581,0.153602726,-2.234625586,0.02544194,0.057532803,1700048O20Rik,1700048O20Rik
14.87858375,4.972600084,1.046890237,4.749877214,2.04E-06,9.65E-06,1700049E17Rik1,1700049E17Rik1
28.09486095,1.398865619,0.460716078,3.036285658,0.002395123,0.006958004,1700049E17Rik2,1700049E17Rik2
8.48759149,0.963058807,0.864514717,1.113987753,0.265284441,0.396579486,1700051A21Rik,1700051A21Rik
106.7042719,-0.00903255,0.229108733,-0.039424728,0.968551765,0.98160002,1700052K11Rik,1700052K11Rik
2.966512862,0.665268642,1.361743065,0.488541972,0.625166004,0.739930982,1700054M17Rik,1700054M17Rik
2.96445261,2.484657049,1.43575348,1.730559656,0.083530333,0.157906942,1700055D16Rik,1700055D16Rik
2.747106451,-0.958388305,1.479426635,-0.647810633,0.517107437,0.648446336,1700055D18Rik,1700055D18Rik
8.851557422,0.686172942,0.774260913,0.886229603,0.375493815,0.515860638,1700056E22Rik,1700056E22Rik
74.35330216,0.07106443,0.260145989,0.273171347,0.784721504,0.860964344,1700066M21Rik,1700066M21Rik
6.569549957,0.398623759,0.881595139,0.452161929,0.651152332,0.759783367,1700067K01Rik,1700067K01Rik
11.40866918,0.970197886,0.676724327,1.433667814,0.151667081,0.256297983,1700071G01Rik,1700071G01Rik
4.943973716,1.152923709,1.002795133,1.149710116,0.250263287,0.379416708,1700072B07Rik,1700072B07Rik
3.119379472,0.467395127,1.292234412,0.36169531,0.717579732,0.81176556,1700072F12Rik,1700072F12Rik
9.64660597,0.606551579,0.712265891,0.851580268,0.394447095,0.534743293,1700082M22Rik,1700082M22Rik
2.442294718,-0.79262985,1.551641502,-0.510833107,0.609467924,0.726982026,1700084J12Rik,1700084J12Rik
71.41040926,0.534220809,0.268815729,1.987312316,0.046887798,0.097258466,1700086O06Rik,1700086O06Rik
