baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
15.72891995,-0.645102113,0.605866363,-1.064759744,0.286984666,0.421044333,0610006L08Rik,0610006L08Rik,17.29836316,9.426598337,31.07771741,9.720628728,12.64166573,14.20854632
2.181318182,4.716891061,1.902668375,2.479092585,0.013171711,0.032124912,0610009E02Rik,0610009E02Rik,0,0,0,3.645235773,8.427777152,1.014896166
10.76900741,0.451538246,0.719594706,0.627489672,0.530338304,0.659540717,0610009L18Rik,0610009L18Rik,14.41530264,7.069948753,5.827072015,15.79602168,5.26736072,16.23833866
173.8913391,-0.594271419,0.174958454,-3.396643055,0.000682179,0.002217558,0610010K14Rik,0610010K14Rik,207.5803579,227.02391,192.2933765,153.0999025,124.309713,139.0407747
141.6387931,0.206159538,0.186683313,1.104327613,0.269451049,0.401359491,0610030E20Rik,0610030E20Rik,123.9716027,134.3290263,135.9650137,165.2506884,140.1117952,150.2046326
58.08562734,0.688430509,0.32206983,2.137519395,0.03255577,0.071238196,0610038B21Rik,0610038B21Rik,46.12896843,45.56189196,41.76068278,63.18408673,101.1333258,50.7448083
6.586171566,1.255846491,0.97650399,1.286063861,0.198420775,0.316519312,0610040B10Rik,0610040B10Rik,0,3.927749307,7.769429354,7.290471546,6.320832864,14.20854632
5.908752826,0.218546732,0.950002178,0.230048664,0.818053955,0.883617755,1110002E22Rik,1110002E22Rik,4.805100878,8.641048476,2.913536008,2.430157182,11.58819358,5.07448083
2.592637127,2.150235948,1.613789317,1.332414291,0.182724089,0.297101129,1110002J07Rik,1110002J07Rik,0,0,2.913536008,8.505550137,2.106944288,2.029792332
230.4415233,0.608916236,0.149536442,4.072025697,4.66E-05,0.000184406,1110002L01Rik,1110002L01Rik,200.8532167,176.7487188,169.9562671,290.4037833,268.6353967,276.0517572
2496.42504,-0.386865989,0.067703466,-5.7141238,1.10E-08,6.69E-08,1110004F10Rik,1110004F10Rik,2893.631749,2979.590624,2612.47062,2228.454136,1962.618604,2301.784505
3.79767658,0.764399194,1.158236582,0.659968098,0.509274302,0.641434971,1110006O24Rik,1110006O24Rik,3.844080703,0.785549861,3.884714677,6.075392955,2.106944288,6.089376996
14.41331125,1.350857743,0.624432503,2.163336687,0.030515293,0.067321883,1110018N20Rik,1110018N20Rik,4.805100878,12.56879778,6.798250685,14.58094309,28.44374789,19.28302715
19.9907494,0.87233333,0.512674097,1.701535801,0.088842421,0.166084702,1110019D14Rik,1110019D14Rik,9.610201757,13.35434764,19.42357338,29.16188618,18.96249859,29.43198882
