gene_id,gene_name,.Exp.12H.1,.Exp.12H.2,.Exp.12H.3,.Exp.24H.4,.Exp.24H.5,.Exp.24H.6
GENE_001,Vdac2,18,12,32,8,12,14
GENE_002,Srsf5,0,0,0,3,8,1
GENE_003,Mrpl9,15,9,6,13,5,16
GENE_004,Stag1,216,289,198,126,118,137
GENE_005,Zfp959,129,171,140,136,133,148
GENE_006,1110018N20Rik,47.675,58.076,42.676,52.242,95.555,49.967
GENE_007,Scara5,0,5,8,6,6,14
GENE_008,Wwox,5,11,3,2,10.994,5
GENE_009,Nol11,0,0,3,7,2,2
GENE_010,Tmem230,208.971,225,175,239,255,271.97
GENE_011,Mrps30,3011.001,3793,2690,1834,1863.001,2268.001
GENE_012,n-R5s129,4,1,4,5,2,6
GENE_013,Rims2,5,16,7,12,27,19
GENE_014,Slc25a3,10,17,20,24,18,29
GENE_015,Kalrn,5,4,2,0,3,0
GENE_016,Grin3b,15,15,26,14,13,14.998
GENE_017,Gm26448,19,22,23,7,18.295,18.146
GENE_018,Gm13571,231,270,249,191,263,270
GENE_019,Gm53057,247,245,227,136,135,147
GENE_020,Ssh2,206.025,228.066,236.676,147.71,158.218,149.283
GENE_021,ND2,48,91,51,43,38,60
GENE_022,Rap2c,100,97,88,66,94.645,82
GENE_023,Trmt10a,57.477,35.252,22.598,14.925,27.233,35.657
GENE_024,Tlx3,59,68,45,28,20,34
GENE_025,Man1b1,3,3,0,15,5,5
GENE_026,Galnt16,40.805,119.574,35.634,106.65,152.763,177.919
GENE_027,Dhx9,106.557,104.072,79.945,80.112,104.545,125.444
GENE_028,Trmt11,317,401,314,216,248,326
GENE_029,Eno1b,7,11,4,19,10,16
GENE_030,Gm37120,34,45,36,36,29,41
GENE_031,Gm5088,159,134,154,39,65,71
GENE_032,Ppard,89,95,78,104,168,155
GENE_033,Gm54038,13,3,3,9,9,5
GENE_034,Pkp3,8,20.003,17,15,19.002,15
GENE_035,Zfp266,4,2,0,6,0,0
GENE_036,Tiparp,9.657,2.177,5,5.279,3.286,4.353
GENE_037,Alkbh3os1,0,6,3,29,53,46
GENE_038,Gm51544,3,3,3,1,2,1
GENE_039,Abcb1b,14,11,12,16,17,9
GENE_040,Cstf2t,16,14,25,24,16,27.999
GENE_041,Gm12963,8.107,10.58,4.434,18.375,20.25,20
GENE_042,BC004004,1,2,4,1,4,1
GENE_043,Tubgcp2,1,0,0,6,2,2
GENE_044,Mthfsd,5.199,11,0,4,9.843,4
GENE_045,Gm25121,7,5,3,8,9,3
GENE_046,Scd1,23.068,37,61.987,23.129,12,20.016
GENE_047,Drc3,0,2,1,3,6,2
GENE_048,Tmem164,1,2,3,2,3,1
GENE_049,Gm57735,15,16,19,25,19,26
GENE_050,Gm35630,0,9,0,10,4,4
GENE_051,Gm32687,2.032,6,12,7,6,6
GENE_052,Ralgapb,3,6,4,16,3,3
GENE_053,Dguok,520,649.01,542,682,839,815
GENE_054,1700001K23Rik,0,2,1,18,16,32
GENE_055,Rfx7,2,5,1,10,6,5
GENE_056,Pinx1,0,3,0,6,0,4
GENE_057,Zfp280d,5.004,28.016,19.996,20.955,28.947,22.999
GENE_058,Rps12,3,6,6,1,2,4
GENE_059,Ilk,11,1,0,11,9,8
GENE_060,Stxbp5,0,2,1,5,1,3
GENE_061,Ago2,24.9,21.891,21.099,67.306,73.467,54.332
GENE_062,Dnal4,1405,1799,1440,686,762,770
GENE_063,Gramd1a,2,2,6,1,0,1
GENE_064,Gnasas1,0,0,0,4,5,7
GENE_065,Zfp626,11,22,21,25,10,12
GENE_066,Slc38a5,3,5,4,0,0,4
GENE_067,Npc2,23.343,33.822,17,6.72,29.714,29.647
GENE_068,BC002059,28.918,15,13,17,44,26
GENE_069,Phlda1,24,22,25,35,37,32
GENE_070,Cdkn2aip,5,3,2,2,1,5
GENE_071,Zfp820,8,13,1,6,3,9
GENE_072,Mlxipl,22,47.306,21,15.406,7,13.386
GENE_073,Trnt1,1,9,0,4,5,2
GENE_074,Cplane1,0,18,19,18.123,20,24
GENE_075,Stau1,316,368,312,177,193,282
GENE_076,Gm44764,3.25,0,0,41.642,22.084,11.64
GENE_077,Dip2a,13.279,20.663,18.323,19.397,40.992,54.971
GENE_078,Sav1,8,12,0,10,9,12
GENE_079,Fam171a2,109,123.159,123,106.001,100,84
GENE_080,Rnpc3,3,5,0,4,1,5
GENE_081,Tmc8,2,1,0,3,7,4
GENE_082,Gm29943,0,10,3,3,1,1
GENE_083,Xntrpc,2,11,10,10,10,10
GENE_084,Rcor3,75,103,66,71.598,65,72
GENE_085,Gm24311,8,8,2.742,10,6,4
GENE_086,Eif4a2,9,5,11,15,15,11
GENE_087,Wipf3,3,2,5.477,4,7,8.012
GENE_088,Bcor,0,5,4,3,4,3
GENE_089,Gm51889,11,6,8,10,9,13
GENE_090,Insm2,0,2.003,8,1.002,1,3.008
GENE_091,Lpgat1,66,79.999,50,68,92,73
GENE_092,Oxnad1,6,6,14,7,11,2
GENE_093,Cebpg,18,31,36,44,46,37
GENE_094,Lamtor5,3,9,3,13,19,11
GENE_095,Nxnl1,4,1,2,1,3,3
GENE_096,Gm45928,5,13,3,0,1,0
GENE_097,Ptrh2,0,2,6,1,2,1
GENE_098,Baiap2l1,1,3,4,0,4,1
GENE_099,Mthfd1l,0,3,0,7,8,1
GENE_100,Asb16,0,4,0,8,4,1
GENE_101,Gm35835,2,8,13,7,0,3
GENE_102,Cdkl1,0,0,10,0,1,0
GENE_103,C030004G16Rik,0,7,4,2,2,5
GENE_104,Heca,2,5,8,2,1,1
GENE_105,Mcu,102,158,154,119,93,122
GENE_106,Tal1,375.733,513.767,412,205.741,241,241
GENE_107,Gm57787,10,2,7,50,54,79.001
GENE_108,Bhmt2,1.76,2,1.274,2,7,2
GENE_109,Mfsd13a,12,9,2,2.006,12,6
GENE_110,Gm7152,9,6,4,5,9,3
GENE_111,Fbxo32,8,7,1,3,4,4
GENE_112,4732440D04Rik,269,326,268,231,295,280
GENE_113,Pnma8c,99,136,124,70,74,83
GENE_114,Il15ra,15,6,0,2,9,3
GENE_115,Ctla2a,277,330,300,223,206,232
GENE_116,Smc4,5,2,0,0,4,1
GENE_117,Dhh,12,21,6,5,9,20
GENE_118,9330151L19Rik,11,6,4,4,7,5
GENE_119,C630004L07Rik,48,70,58,31,41,58
GENE_120,Fbxo3,60,48,36,55,96.999,85
GENE_121,Gm33489,38,31,27,14,31,22
GENE_122,Cluh,1,6,1,6,7,3
GENE_123,Kcnn2,3,0,0,1,8,6
GENE_124,F5,112,185,123,121,127,152
GENE_125,Gpr179,44,58,43,30.999,54,64
GENE_126,Gm34372,43,50,51,29,51,52
GENE_127,Med25,3,3.015,7,2.012,1,2
GENE_128,Ankzf1,73.339,155.613,165.803,137.103,130.385,59.446
GENE_129,Mcub,32,71,20,31,28,49
GENE_130,Snrnp40,61,62,77,82,91,77
GENE_131,Slc9a8,5,1,0,2,1,4
GENE_132,Haus6,71,88,71,39,49,63
GENE_133,Clpb,33,38,51.999,48,41,32
GENE_134,4930546K05Rik,379.999,425,413,203,220,202
GENE_135,Gm17644,681.478,765.493,603,433,494,493
GENE_136,Slc10a3,21,20,5,7,11,8
GENE_137,Camk2g,426,565,538.993,175,215,218
GENE_138,Sgsh,5,9,3,7,7,7
GENE_139,Mapre3,17,23,37,18,20,20
GENE_140,Mrps24,26,46,53,67,43,86
GENE_141,Esx1,6,4,2,5,3,4
GENE_142,Matcap1,10,17,10,8,8,14
GENE_143,Myh9,362,379,350,255,225,310
GENE_144,Yeats2,27,25,20,34,25,50
GENE_145,Gm16001,16,22,4,10,11,6
GENE_146,Rnf146,187,281,197.001,139,150,169
GENE_147,Ints3,2,10,2,4,9,2
GENE_148,Rhoc,163,200,191,89,89,80
GENE_149,Sgo1,9,25,13,12,7,9
GENE_150,Piezo1,13,13,17,2,11,13
GENE_151,Arhgef11,431.206,489.388,416.742,455.76,506.239,506.156
GENE_152,Apba1,185,255,194.001,120,141,175
GENE_153,Bicc1,4,4,0,2,1,3
GENE_154,Ccn2,381,555,407,739,860,1013
GENE_155,Etnk2,5,12,9,2,0,3
GENE_156,D730003I15Rik,7,7,5,4,17,18
GENE_157,Gm51667,10,6,4,9,7.575,10
GENE_158,Gm24143,8,10,1,10,10,11
GENE_159,Dusp6,14.73,8,22,12,11,11
GENE_160,Rdur,47,47,50,26,24,26
GENE_161,Gm867,5,1,2.885,9.846,6.784,3
GENE_162,Gnb1,1444,1631.79,1461,1157,1278,1262
GENE_163,Zfp260,3,4,2,5,1,0
GENE_164,4921536K21Rik,1404.646,1587.612,1304.032,1807.095,1993.498,1997.946
GENE_165,Twf1,245,228,182,153,159,164
GENE_166,Gm38450,7,19,3,3,10,15
GENE_167,Gm12506,10,12,2,11,6,2
GENE_168,Klf16,7,8,2,5,6,6
GENE_169,Cdk2ap2,17,31,20,16,6,10
GENE_170,Cep295nl,1,11,19,6,11,7
GENE_171,Trmt6,8,4,13,14,15,8
GENE_172,Gm6306,0,2,0,8,6,2
GENE_173,Il11ra1,18.59,9.217,5.833,8.461,10.308,6.492
GENE_174,Lrch4,8,15,13,20,30,29
GENE_175,Ocstamp,17,46,34,12,22,10
GENE_176,Coprs,10,20,4,18,28,20
GENE_177,Gm22997,173,159.001,140.001,199.999,164,180.001
GENE_178,Ubqln1,0,1,1,4,2,7
GENE_179,Taf7l,46.237,27.054,35.097,16.137,16.068,17.21
GENE_180,Gm54192,509,492,424,252,316,291.001
GENE_181,Slc37a3,22,51,55,43,53,38
GENE_182,Kmt2b,49,99,63,29.964,50,44.895
GENE_183,Gm24312,67,66,60,25,41,32
GENE_184,Atp6v0d1,51,97,63,36.797,58,45.712
GENE_185,Ccdc71,158,194.346,170,186.61,227,245
GENE_186,Plaat1,89,74,83,67,66,80
GENE_187,Ninl,45,53,50,26,37,22
GENE_188,Ints10,15,14,11,5,6,14
GENE_189,Scn9a,1766,2138,1729,1581,1749,1828
GENE_190,Gm23202,41,37,57,30,31,40
GENE_191,Arid2,74.131,75.233,59.101,45,39.725,60.635
GENE_192,Cfap97d2,399,499,467,283,357,447
GENE_193,A4galt,5,3,5,10,4,4
GENE_194,Klf4,27,30,16,39,31,28
GENE_195,Scyl2,3.109,9.596,3,8.243,8,7.105
GENE_196,Lgals4,24.139,42.999,0,62.157,30.907,35.729
GENE_197,Clic5,6,4,14,5,1,5
GENE_198,Gm19345,16,23,4,30.999,24,28.001
GENE_199,Cers2,84.703,61.213,82.241,91.317,87.694,83.351
GENE_200,Mbd3,26,35,27,12,25,33
GENE_201,Gpr176,0,4,0,14,13,13
GENE_202,Ppp1r42,27,20,14,14,27,13
GENE_203,Entpd3,7,21,8,14,13,17
GENE_204,Nxf3,8,8,4,5,10,5
GENE_205,Cyp4f16,2,2,7,0,2,3
GENE_206,Tbl3,628.254,805.173,719.001,699.644,728.05,787.023
GENE_207,Lima1,8,11,1,8,2,13
GENE_208,Klhl7,62,60,74,86,68,53
GENE_209,4930452G13Rik,11,13,21,52,74,72
GENE_210,Abhd10,14,6,18,17,28,22
GENE_211,Pip4p2,2,3,0,4,3,6
GENE_212,Cul7,8.001,5.004,22.004,2.001,3.002,6.005
GENE_213,Dennd6a,6,2,0,2,1,9
GENE_214,Tstd3,16,17.955,45,42,28,40
GENE_215,Gm6211,1,1,2,4,8,7.003
GENE_216,Utp15,5,15.088,22.038,19.366,21.934,12.25
GENE_217,Ncoa2,1,3,4,5,4,0
GENE_218,Lage3,92,103,86,59,71,70
GENE_219,Snord111,25,54.525,55,59.988,57.551,63.039
GENE_220,Rab35,15,18,9,11,7,17
GENE_221,Lyn,5,7,0,30,18,13
GENE_222,Ndufb2,9,14,15,8,4,6
GENE_223,Snord17,608,816,642,285,385,428.001
GENE_224,St3gal1,2,2,3,2,1,3
GENE_225,Trp53,28,25,8,13,24,13
GENE_226,Rab26os,280.636,302.264,289.824,214.673,257.274,299.72
GENE_227,C030006K11Rik,50,34,50,13,19,37
GENE_228,Abca2,5,2,3,11,5,0
GENE_229,Stmp1,175.204,213.01,147.356,132.754,145.626,153.751
GENE_230,Nxf2,6,12,19,8,9,4
GENE_231,Fhit,3,1,0,4,2,1
GENE_232,Msh5,185,255.986,167,163,358,205
GENE_233,Nuggc,0,9,9,15,7,9
GENE_234,Gm31522,12,13,12,25,27,17
GENE_235,Ccdc184,296.155,408.158,293.464,291.902,262.754,337.434
GENE_236,Fgl2,43,19,36,27,28,13
GENE_237,A430046D13Rik,0,12,2,10,6,5
GENE_238,Slc39a8,8,8,11,14,34,14
GENE_239,Mtx3,12,7,5,6,16,11
GENE_240,Ppia,5,10,8,14,20,14
GENE_241,Gmip,5,9,3,20,9,10
GENE_242,Iglon5,6,6,6,3,1,2
GENE_243,Gm8801,17,8,6,4,4,6
