"","gene"
"1","FUN_017989_alox15_2"
"2","FUN_006707_hypothetical_protein"
"3","FUN_017988_alox15_1"
"4","FUN_015119_hypothetical_protein"
"5","FUN_020153_VPS26B_1"
"6","FUN_024895_SCAF4_1"
"7","FUN_004210_LRP1_1"
"8","FUN_048373_NT5C2_3"
"9","FUN_060293_ING3"
"10","FUN_019956_AGFG1_2"
"11","FUN_018769_hypothetical_protein"
"12","FUN_028404_EEF1B2"
"13","FUN_015326_CLEC3B_1"
"14","FUN_048381_hypothetical_protein"
"15","FUN_003295_hypothetical_protein"
"16","FUN_043476_PCSK7_2"
"17","FUN_012863_prom2_1"
"18","FUN_012326_COX7A2L_1"
"19","FUN_033109_ELP1_1"
"20","FUN_050468_hypothetical_protein"
"21","FUN_030723_hypothetical_protein"
"22","FUN_025315_FHL1_2"
"23","FUN_010244_ATG2A"
"24","FUN_051213_hypothetical_protein"
"25","FUN_030442_hypothetical_protein"
"26","FUN_042909_KLHL24_1"
"27","FUN_016506_FAM84B"
"28","FUN_043851_hypothetical_protein"
"29","FUN_042185_SFT2D3"
"30","FUN_019962_ZFYVE1_1"
"31","FUN_043825_ZMYND11"
"32","FUN_016844_hypothetical_protein"
"33","FUN_013925_hypothetical_protein"
"34","FUN_025872_THBS1_1"
"35","FUN_043103_GTPBP4"
"36","FUN_018766_hypothetical_protein"
"37","FUN_056352_RNF10"
"38","FUN_010025_CAB39"
"39","FUN_003817_LRIG1"
"40","FUN_027877_ABI3"
"41","FUN_050804_hypothetical_protein"
"42","FUN_025304_SSSCA1"
"43","FUN_010973_hypothetical_protein"
"44","FUN_044189_hypothetical_protein"
"45","FUN_024130_hypothetical_protein"
"46","FUN_041140_hypothetical_protein"
"47","FUN_048991_hypothetical_protein"
"48","FUN_060252_RPL10"
"49","FUN_005221_ADAMTS2_4"
"50","FUN_054172_DDX21_2"
"51","FUN_015329_CDCP1_1"
"52","FUN_012894_ASRGL1_1"
"53","FUN_020752_hypothetical_protein"
"54","FUN_041963_EIF3K_2"
"55","FUN_008607_RPL3"
"56","FUN_030171_hypothetical_protein"
"57","FUN_041430_UCN3"
"58","FUN_003141_hypothetical_protein"
"59","FUN_033816_PIDD1"
"60","FUN_025288_hypothetical_protein"
"61","FUN_006399_PCMT1_1"
"62","FUN_053925_LURAP1L_2"
"63","FUN_037631_FNDC7_1"
"64","FUN_001743_GALNT5"
"65","FUN_043084_URB1_1"
"66","FUN_049056_MRPS31"
"67","FUN_045469_hypothetical_protein"
"68","FUN_049192_GPSM1_4"
"69","FUN_060246_PKN2_2"
"70","FUN_060066_prom2_5"
"71","FUN_019955_AGFG1_1"
"72","FUN_028582_hypothetical_protein"
"73","FUN_042115_RPL5_2"
"74","FUN_008455_GPS1"
"75","FUN_031249_YY1_1"
"76","FUN_042305_EEF1D_3"
"77","FUN_007607_AXIN2_1"
"78","FUN_042458_hypothetical_protein"
"79","FUN_009930_MID2_4"
"80","FUN_045753_PTGER4"
"81","FUN_031711_XKR6_1"
"82","FUN_037633_hypothetical_protein"
"83","FUN_040761_hypothetical_protein"
"84","FUN_032394_hypothetical_protein"
"85","FUN_012680_ATL2_2"
"86","FUN_009452_IGF2_1"
"87","FUN_049072_hypothetical_protein"
"88","FUN_026871_EPAS1_2"
"89","FUN_002714_DOPEY2_1"
"90","FUN_039588_hypothetical_protein"
"91","FUN_037720_hypothetical_protein"
"92","FUN_006098_hypothetical_protein"
"93","FUN_005568_CECR2_1"
"94","FUN_012895_ASRGL1_2"
"95","FUN_006096_hypothetical_protein"
"96","FUN_007761_rgl3_1"
"97","FUN_033266_hypothetical_protein"
"98","FUN_040585_MRPS18A"
"99","FUN_060395_hypothetical_protein"
"100","FUN_032816_SNX1"
"101","FUN_050460_MPZL2_2"
"102","FUN_017956_hypothetical_protein"
"103","FUN_007632_hypothetical_protein"
"104","FUN_031288_ADAM17_2"
"105","FUN_037304_KRT8_4"
"106","FUN_006860_RBBP6"
"107","FUN_010931_prrg4"
"108","FUN_015328_CLEC3B_2"
"109","FUN_034205_hypothetical_protein"
"110","FUN_056218_PRKAB1_2"
"111","FUN_002388_hypothetical_protein"
"112","FUN_049664_hypothetical_protein"
"113","FUN_005326_hypothetical_protein"
"114","FUN_024131_hypothetical_protein"
"115","FUN_029753_KANSL1_4"
"116","FUN_060072_TBC1D9"
"117","FUN_009578_ZNRF1_2"
"118","FUN_018223_hypothetical_protein"
"119","FUN_004132_PLEKHA6_1"
"120","FUN_027252_hypothetical_protein"
"121","FUN_018008_hypothetical_protein"
"122","FUN_013073_MAP4K5"
"123","FUN_048661_SRD5A2"
"124","FUN_009927_MID2_2"
"125","FUN_034337_GET4_1"
"126","FUN_047815_ATP1A1_5"
"127","FUN_004212_LRP1_3"
"128","FUN_002501_TSC1_1"
"129","FUN_056282_aebp1"
"130","FUN_043418_FAM26E"
"131","FUN_048081_hypothetical_protein"
"132","FUN_028455_AXIN2_2"
"133","FUN_036183_hypothetical_protein"
"134","FUN_030191_hypothetical_protein"
"135","FUN_012075_hypothetical_protein"
"136","FUN_050374_hypothetical_protein"
"137","FUN_034647_hypothetical_protein"
"138","FUN_047192_hypothetical_protein"
"139","FUN_056170_hypothetical_protein"
"140","FUN_049071_hypothetical_protein"
"141","FUN_012224_ETAA1"
"142","FUN_023161_hypothetical_protein"
"143","FUN_025263_SBNO1_4"
"144","FUN_015920_MROH1"
"145","FUN_053206_hypothetical_protein"
"146","FUN_023932_hypothetical_protein"
"147","FUN_033916_hypothetical_protein"
"148","FUN_012489_METAP1_9"
"149","FUN_017327_SRSF11_1"
"150","FUN_060008_hypothetical_protein"
"151","FUN_012347_hypothetical_protein"
"152","FUN_051214_S1PR2"
