"","gene"
"1","FUN_010450_hypothetical_protein"
"2","FUN_035058_hypothetical_protein"
"3","FUN_019388_EDNRB2"
"4","FUN_000885_ADCY5_5"
"5","FUN_005420_SLC7A5_1"
"6","FUN_014931_hypothetical_protein"
"7","FUN_019814_KCNJ13"
"8","FUN_015831_hypothetical_protein"
"9","FUN_005721_EXOC3L1_1"
"10","FUN_039509_hypothetical_protein"
"11","FUN_000656_hypothetical_protein"
"12","FUN_038639_ADD1_2"
"13","FUN_030290_SOX10"
"14","FUN_046081_hypothetical_protein"
"15","FUN_008131_SYNGR1_1"
"16","FUN_036378_hypothetical_protein"
"17","FUN_011460_hypothetical_protein"
"18","FUN_024103_hypothetical_protein"
"19","FUN_052027_hypothetical_protein"
"20","FUN_007661_TSPAN10"
"21","FUN_038255_hypothetical_protein"
"22","FUN_039163_RAB34_3"
"23","FUN_013805_hypothetical_protein"
"24","FUN_004755_hypothetical_protein"
"25","FUN_002920_hypothetical_protein"
"26","FUN_024873_RAB38_3"
"27","FUN_000881_ADCY5_1"
"28","FUN_030436_hypothetical_protein"
"29","FUN_038360_hypothetical_protein"
"30","FUN_047392_hypothetical_protein"
"31","FUN_036496_L1CAM_1"
"32","FUN_028949_MYH10_20"
"33","FUN_030616_hypothetical_protein"
"34","FUN_039511_hypothetical_protein"
"35","FUN_015054_STK17A_2"
"36","FUN_031141_hypothetical_protein"
"37","FUN_053274_hypothetical_protein"
"38","FUN_009738_hypothetical_protein"
"39","FUN_012784_WDFY4_1"
"40","FUN_023635_LRP4_1"
"41","FUN_060178_OTOP3_3"
"42","FUN_059998_STXBP1_2"
"43","FUN_023636_LRP4_2"
"44","FUN_003336_hypothetical_protein"
"45","FUN_046593_PLK2_2"
"46","FUN_056416_ADRA2B"
"47","FUN_046191_DNAJC5_2"
"48","FUN_049408_LRRC19"
"49","FUN_010745_BHLHE41"
"50","FUN_056215_HPS4"
"51","FUN_059626_hypothetical_protein"
"52","FUN_051599_hypothetical_protein"
"53","FUN_051983_hypothetical_protein"
"54","FUN_056062_GLRX5"
"55","FUN_049807_ATF5"
"56","FUN_010743_hypothetical_protein"
"57","FUN_054620_DNAH6_3"
"58","FUN_038300_RAB27B"
"59","FUN_014933_FZD8"
"60","FUN_023740_hypothetical_protein"
"61","FUN_046793_ABCD1"
"62","FUN_000006_PTTG1IP"
"63","FUN_045899_hypothetical_protein"
"64","FUN_009320_CORO2B_2"
"65","FUN_011981_hypothetical_protein"
"66","FUN_052652_hypothetical_protein"
"67","FUN_048211_PKNOX1_2"
"68","FUN_000873_hypothetical_protein"
"69","FUN_010744_hypothetical_protein"
"70","FUN_024101_hypothetical_protein"
"71","FUN_020614_hypothetical_protein"
"72","FUN_042561_hypothetical_protein"
"73","FUN_044068_map7d2"
"74","FUN_054667_hypothetical_protein"
"75","FUN_047064_hypothetical_protein"
"76","FUN_051987_TFAP2E"
"77","FUN_039539_DUSP4"
"78","FUN_060000_ME3_4"
"79","FUN_040363_BICD1_2"
"80","FUN_050815_SEH1L"
"81","FUN_014198_CERS2_2"
