gene_id	gene_name	.T0.s1	.T0.s2	.T0.s3	.T96.s4	.T96.s5	.T96.s6
ENSG00000000003	TSPAN6	14	3.414	7	3	7.566	2
ENSG00000000005	TNMD	8	5.539	10	13	8	8
ENSG00000000419	DPM1	100	118	80	66.024	61	70.999
ENSG00000000457	SCYL3	48.001	51.001	24	92.259	50.001	35.001
ENSG00000000460	FIRRM	79	65	44	36.447	59.047	41
ENSG00000000938	FGR	3.001	20.004	9.709	18.002	13.001	28.007
ENSG00000000971	CFH	8	18	12	44	21	21.097
ENSG00000001036	FUCA2	57.922	85	48.258	65.974	99	74.999
ENSG00000001084	GCLC	275.66	300.77	227.999	207.432	220	235
ENSG00000001167	NFYA	240.622	277	260	198.347	190	184.403
ENSG00000001460	STPG1	14.965	10	11	34.265	14	16
ENSG00000001461	NIPAL3	31.018	44	29.023	53.56	88	71.001
ENSG00000001497	LAS1L	112.023	142.355	73.545	99.883	52	70.543
ENSG00000001561	ENPP4	22	22.056	35	25.401	16.1	16
ENSG00000001617	SEMA3F	157	144.001	141.616	299.648	181.001	151
ENSG00000001626	CFTR	32	36.632	26	40.458	38	25
ENSG00000001629	ANKIB1	543.001	584.999	439.014	316.606	364.999	378
ENSG00000001630	CYP51A1	184.731	233.536	242.981	223.079	187.971	267.756
ENSG00000001631	KRIT1	176.951	204.967	142.382	119.642	143.045	125.033
ENSG00000002016	RAD52	43.299	36	26.001	33	23	34
ENSG00000002079	MYH16	28.001	37.653	34.203	45.864	28.169	50.421
ENSG00000002330	BAD	38.166	71.128	51.001	51.968	48.843	35.023
ENSG00000002549	LAP3	152.074	161.065	100.123	88.537	93.944	88
ENSG00000002586	CD99	16.5	4	5.5	4.5	9.5	15.5
ENSG00000002587	HS3ST1	795.34	2	809.754	17.109	1683.831	1088.682
ENSG00000002726	AOC1	10.001	16	34.004	26.693	25	25.994
ENSG00000002745	WNT16	2	15	2	7.01	6	7
ENSG00000002746	HECW1	37.008	65.915	36.002	242.931	95.006	60.951
ENSG00000002822	MAD1L1	218.782	294.475	229.294	175.726	130.675	134.05
ENSG00000002834	LASP1	445.474	551.999	426.114	309.067	345.534	326
ENSG00000002919	SNX11	19.999	23	30	35.702	25	22.999
ENSG00000002933	TMEM176A	1925.063	2747.39	1772.534	1546.029	3919.132	2597.277
ENSG00000003056	M6PR	391.999	470	345.999	305.014	263.999	335.999
ENSG00000003096	KLHL13	5.047	11.051	13.999	18.017	6	10
ENSG00000003137	CYP26B1	106.687	87.355	66.292	268.879	233.48	257.476
ENSG00000003147	ICA1	3584.792	4017.19	3500.097	4674.133	7241.854	5798.523
ENSG00000003249	DBNDD1	50.001	52.068	38.827	68.828	91.587	58.113
ENSG00000003393	ALS2	139	149.169	140.999	100.214	136.999	94.997
ENSG00000003400	CASP10	10.999	24	9.001	34.717	33.015	22
ENSG00000003402	CFLAR	39	39	32	70.587	47.15	32.017
ENSG00000003436	TFPI	19	8	10	16	9	25.979
ENSG00000003509	NDUFAF7	31.999	22	11	12	21	31
ENSG00000003756	RBM5	725	950.055	709.4	555.773	627.001	612.001
ENSG00000003987	MTMR7	257.447	297.126	270.177	1062.327	406.269	362.173
ENSG00000003989	SLC7A2	46.452	57.008	38.652	98.982	54	80.196
ENSG00000004059	ARF5	632.992	1073.053	645.244	597.342	752.175	655.516
ENSG00000004139	SARM1	68.896	166.733	116.558	194.864	155.121	104.888
ENSG00000004142	POLDIP2	221	291.672	253.001	8080.884	242	246.154
ENSG00000004399	PLXND1	117.391	166.009	105.032	84.312	90.082	122.551
ENSG00000004455	AK2	552.234	859.865	674.999	758.842	1223.241	1082.587
ENSG00000004468	CD38	10	10	21	30.002	11	9
ENSG00000004478	FKBP4	1338.975	1575.749	1255.092	845.75	948.722	1074.527
ENSG00000004487	KDM1A	1567.082	2077.002	1678	1186.558	1319.733	1295.088
ENSG00000004534	RBM6	686.608	847.483	691.999	461.606	506.039	505.325
ENSG00000004660	CAMKK1	33.979	69.494	19.097	47.394	46.921	32.19
ENSG00000004700	RECQL	5	12	12	8	11	8.001
ENSG00000004766	VPS50	225.999	295.969	276.132	211.843	204.001	236.621
ENSG00000004776	HSPB6	10	16	15	35.001	24.386	16
ENSG00000004777	ARHGAP33	105.307	100.859	98.947	150.156	156.212	137.263
ENSG00000004779	NDUFAB1	177.999	234	173	104.001	114	103
ENSG00000004799	PDK4	17	11.08	18.44	27.416	13	6
ENSG00000004809	SLC22A16	9	3	2	0	2	4
ENSG00000004838	ZMYND10	5	3	8	15.131	6	5
ENSG00000004846	ABCB5	8.996	23.035	3	26.936	25.407	21.861
ENSG00000004848	ARX	11	19	3	33.866	18.387	15
ENSG00000004864	SLC25A13	12	22	13	48.29	19.213	16
ENSG00000004866	ST7	203	152.23	106.429	167.969	164.999	176.07
ENSG00000004897	CDC27	671.111	833.106	647.784	463.44	477.026	478.723
ENSG00000004939	SLC4A1	9	18.99	8	18.024	4	7.953
ENSG00000004948	CALCR	4	11	5	7	11.816	2.027
ENSG00000004961	HCCS	138	127	136	96.798	111	103
ENSG00000004975	DVL2	124.886	172.919	147.102	61.198	223.214	180.469
ENSG00000005001	PRSS22	3	5	6	24.623	5	16
ENSG00000005007	UPF1	675.905	893.001	679.921	631.427	423.243	367
ENSG00000005020	SKAP2	4	15.289	20	34.26	12	14
ENSG00000005022	SLC25A5	1525.772	2037.86	1570.842	820.928	865.889	1014.509
ENSG00000005059	MCUB	48.998	56	78	71.599	75	70.53
ENSG00000005073	HOXA11	1	2	11.998	7.029	5.122	6
