gene_id,Gene_symbol,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
g1,0610006L08Rik,17.29836316,9.426598337,31.07771741,9.720628728,12.64166573,14.20854632
g2,0610009E02Rik,0,0,0,3.645235773,8.427777152,1.014896166
g3,0610009L18Rik,14.41530264,7.069948753,5.827072015,15.79602168,5.26736072,16.23833866
g4,0610010K14Rik,207.5803579,227.02391,192.2933765,153.0999025,124.309713,139.0407747
g5,0610030E20Rik,123.9716027,134.3290263,135.9650137,165.2506884,140.1117952,150.2046326
g6,0610038B21Rik,46.12896843,45.56189196,41.76068278,63.18408673,101.1333258,50.7448083
g7,0610040B10Rik,0,3.927749307,7.769429354,7.290471546,6.320832864,14.20854632
g8,1110002E22Rik,4.805100878,8.641048476,2.913536008,2.430157182,11.58819358,5.07448083
g9,1110002J07Rik,0,0,2.913536008,8.505550137,2.106944288,2.029792332
g10,1110002L01Rik,200.8532167,176.7487188,169.9562671,290.4037833,268.6353967,276.0517572
g11,1110004F10Rik,2893.631749,2979.590624,2612.47062,2228.454136,1962.618604,2301.784505
g12,1110006O24Rik,3.844080703,0.785549861,3.884714677,6.075392955,2.106944288,6.089376996
g13,1110018N20Rik,4.805100878,12.56879778,6.798250685,14.58094309,28.44374789,19.28302715
g14,1110019D14Rik,9.610201757,13.35434764,19.42357338,29.16188618,18.96249859,29.43198882
g15,1110020A21Rik,4.805100878,3.142199446,1.942357338,0,3.160416432,0
g16,1110025M09Rik,14.41530264,11.78324792,25.2506454,17.01110027,13.69513787,15.22344249
g17,1110032F04Rik,18.25938334,17.28209695,22.33710939,8.505550137,18.96249859,18.26813099
g18,1110038B12Rik,221.9956606,212.0984626,241.8234886,232.0800109,277.0631739,274.0219648
g19,1110038F14Rik,237.3719834,192.4597161,220.4575579,165.2506884,142.2187394,149.1897364
g20,1110059E24Rik,197.9701562,179.1053684,230.1693446,179.8316315,166.4485988,151.2195287
g21,1110059G10Rik,46.12896843,71.48503739,49.53011213,52.24837941,40.03194147,60.89376996
g22,1110065P20Rik,96.10201757,76.19833656,85.46372289,80.19518701,100.0798537,83.22148562
g23,1190005I06Rik,54.77815001,27.49424515,22.33710939,18.22617887,28.44374789,36.53626198
g24,1300002E11Rik,56.70019037,53.41739058,43.70304011,34.02220055,21.06944288,34.50646965
g25,1500002C15Rik,2.883060527,2.356649584,0,18.22617887,5.26736072,5.07448083
g26,1500002F19Rik,39.4018272,94.26598337,34.96243209,130.0134092,161.181238,180.6515176
g27,1500004A13Rik,102.8291588,81.69718559,77.69429354,97.20628728,110.6145751,126.8620208
g28,1500009L16Rik,304.6433957,315.0054944,304.9501021,262.4569757,261.2610917,330.8561501
g29,1500011B03Rik,6.72714123,8.641048476,3.884714677,23.08649323,10.53472144,16.23833866
g30,1500015A07Rik,32.67468597,35.34974376,34.96243209,43.74282928,30.55069218,41.61074281
g31,1600012H06Rik,152.8022079,105.2636814,149.5615151,47.38806505,68.47568936,72.05762779
g32,1600014C10Rik,85.53079564,74.62723684,75.7519362,126.3681735,176.9833202,157.3089057
g33,1600020E01Rik,12.49326228,2.356649584,2.913536008,10.93570732,9.481249296,5.07448083
g34,1600029O15Rik,7.688161405,15.71099723,16.51003738,18.22617887,20.01597074,15.22344249
g35,1700001G11Rik,3.844080703,1.571099723,0,7.290471546,0,0
g36,1700001G17Rik,9.610201757,1.571099723,4.855893346,6.075392955,3.160416432,4.059584664
g37,1700001J03Rik,0,4.713299169,2.913536008,35.23727914,55.83402363,46.68522364
g38,1700001K23Rik,2.883060527,2.356649584,2.913536008,1.215078591,2.106944288,1.014896166
g39,1700001L05Rik,13.45428246,8.641048476,11.65414403,19.44125746,17.90902645,9.134065494
g40,1700001O22Rik,15.37632281,10.99769806,24.27946673,29.16188618,16.8555543,28.41709265
g41,1700003E16Rik,7.688161405,8.641048476,3.884714677,21.87141464,21.06944288,20.29792332
g42,1700003M07Rik,0.961020176,1.571099723,3.884714677,1.215078591,4.213888576,1.014896166
g43,1700006J14Rik,0.961020176,0,0,7.290471546,2.106944288,2.029792332
g44,1700007E05Rik,4.805100878,8.641048476,0,4.860314364,10.53472144,4.059584664
g45,1700007L15Rik,6.72714123,3.927749307,2.913536008,9.720628728,9.481249296,3.044688498
g46,1700008J07Rik,22.10346404,29.06534487,60.21307749,27.94680759,12.64166573,20.29792332
g47,1700008O03Rik,0,1.571099723,0.971178669,3.645235773,6.320832864,2.029792332
g48,1700010G06Rik,0.961020176,1.571099723,2.913536008,2.430157182,3.160416432,1.014896166
g49,1700010I14Rik,14.41530264,12.56879778,18.45239472,30.37696478,20.01597074,26.38730032
g50,1700012B09Rik,0,7.069948753,0,12.15078591,4.213888576,4.059584664
g51,1700012D01Rik,1.922040351,4.713299169,11.65414403,8.505550137,6.320832864,6.089376996
g52,1700012D16Rik,2.883060527,4.713299169,3.884714677,19.44125746,3.160416432,3.044688498
g53,1700017B05Rik,499.7304914,509.8218601,526.3788387,828.6835991,883.8631288,827.1403753
g54,1700019D03Rik,0,1.571099723,0.971178669,21.87141464,16.8555543,32.47667731
g55,1700019M22Rik,1.922040351,3.927749307,0.971178669,12.15078591,6.320832864,5.07448083
g56,1700020L13Rik,0,2.356649584,0,7.290471546,0,4.059584664
g57,1700020L24Rik,4.805100878,21.99539612,19.42357338,25.51665041,30.55069218,23.34261182
g58,1700021L23Rik,2.883060527,4.713299169,5.827072015,1.215078591,2.106944288,4.059584664
g59,1700021N21Rik,10.57122193,0.785549861,0,13.3658645,9.481249296,8.119169328
g60,1700022N22Rik,0,1.571099723,0.971178669,6.075392955,1.053472144,3.044688498
g61,1700024B05Rik,24.02550439,17.28209695,20.39475205,81.4102656,76.90346651,54.80439297
g62,1700025G04Rik,1350.233347,1413.204201,1398.497284,833.5439134,802.7457737,781.4700479
g63,1700026J14Rik,1.922040351,1.571099723,5.827072015,1.215078591,0,1.014896166
g64,1700028I16Rik,0,0,0,4.860314364,5.26736072,7.104273162
g65,1700028K03Rik,10.57122193,17.28209695,20.39475205,30.37696478,10.53472144,12.17875399
g66,1700030C14Rik,2.883060527,3.927749307,3.884714677,0,0,4.059584664
g67,1700030J22Rik,22.10346404,26.70869529,16.51003738,8.505550137,31.60416432,30.44688498
g68,1700030K09Rik,27.86958509,11.78324792,12.6253227,20.65633605,46.35277434,26.38730032
g69,1700034H15Rik,23.06448422,17.28209695,24.27946673,42.52775069,38.97846933,32.47667731
g70,1700034P13Rik,4.805100878,2.356649584,1.942357338,2.430157182,1.053472144,5.07448083
g71,1700037C18Rik,7.688161405,10.2121482,0.971178669,7.290471546,3.160416432,9.134065494
g72,1700039I01Rik,21.14244386,36.92084349,20.39475205,18.22617887,7.374305008,13.19365016
g73,1700040D17Rik,0.961020176,7.069948753,0,4.860314364,5.26736072,2.029792332
g74,1700042G15Rik,0,14.13989751,18.45239472,21.87141464,21.06944288,24.35750799
g75,1700048O20Rik,303.6823755,289.082349,303.0077448,215.0689106,203.3201238,286.2007188
g76,1700049E17Rik1,2.883060527,0,0,51.03330082,23.17638717,12.17875399
g77,1700049E17Rik2,12.49326228,16.49654709,17.48121605,23.08649323,43.1923579,55.81928913
g78,1700051A21Rik,7.688161405,9.426598337,0,12.15078591,9.481249296,12.17875399
g79,1700052K11Rik,104.7511991,96.62263296,119.4549763,128.7983306,105.3472144,85.25127795
g80,1700054M17Rik,2.883060527,3.927749307,0,4.860314364,1.053472144,5.07448083
g81,1700055D16Rik,1.922040351,0.785549861,0,3.645235773,7.374305008,4.059584664
g82,1700055D18Rik,0,7.855498614,2.913536008,3.645235773,1.053472144,1.014896166
g83,1700056E22Rik,1.922040351,8.641048476,9.711786692,12.15078591,10.53472144,10.14896166
g84,1700066M21Rik,72.07651318,80.91163573,64.09779217,87.48565855,68.47568936,73.07252396
g85,1700067K01Rik,7.688161405,6.284398891,2.913536008,12.15078591,6.320832864,4.059584664
g86,1700071G01Rik,8.649181581,3.927749307,10.68296536,18.22617887,15.80208216,11.16385783
